Function	FDR	Genes in network	Genes in genome
proteasome-mediated ubiquitin-dependent protein catabolic process	5.004136985243526e-15	17	298
regulation of cell cycle G2/M phase transition	5.2586634836423825e-15	15	194
cellular amino acid metabolic process	9.870157874668877e-14	16	293
cell cycle G2/M phase transition	2.0403113626700451e-13	15	248
response to type I interferon	0.002128980430948758	5	88
cellular response to type I interferon	0.002128980430948758	5	88
antigen processing and presentation of endogenous peptide antigen	0.0034930696805363965	3	15
regulation of apoptotic signaling pathway	0.0034930696805363965	7	255
positive regulation of apoptotic process	0.0037958495213335232	6	171
positive regulation of protein localization to membrane	0.004755989608005997	5	105
cellular extravasation	0.007034683231011424	4	56
antigen processing and presentation of endogenous antigen	0.008071970944796369	3	20
regulation of peptidase activity	0.009048033670821546	7	299
phosphatidylinositol-mediated signaling	0.011685271508554076	5	128
positive regulation of intracellular protein transport	0.014669580029045547	5	135
secretory granule lumen	0.014669580029045547	6	221
cellular response to peptide hormone stimulus	0.015118931078781095	6	223
response to peptide hormone	0.023438679721132494	6	242
positive regulation of cellular protein localization	0.025318037281728673	6	246
regulation of protein targeting to membrane	0.025318037281728673	3	30
regulation of MAP kinase activity	0.026977855209899298	6	250
regulation of protein localization to membrane	0.028617576705522774	5	158
inositol lipid-mediated signaling	0.0296358205090634	5	160
regulation of phosphatidylinositol 3-kinase signaling	0.0296358205090634	4	84
positive regulation of protein transport	0.03441316728066305	6	264
programmed necrotic cell death	0.03441316728066305	3	34
positive regulation of DNA-binding transcription factor activity	0.037999166636983765	5	170
positive regulation of establishment of protein localization	0.040440145592407904	6	274
cellular response to peptide	0.040440145592407904	6	274
negative regulation of protein serine/threonine kinase activity	0.04907607011517957	4	98
apoptotic mitochondrial changes	0.04907607011517957	4	98
necrotic cell death	0.052427597495058535	3	40
negative regulation of protein phosphorylation	0.05554169079851831	6	293
positive regulation of intracellular transport	0.056114187057305094	5	188
phosphatidylinositol 3-kinase signaling	0.059031815421475634	4	104
negative regulation of kinase activity	0.06502938274440037	5	195
response to virus	0.06745031601467692	5	197
lymphocyte proliferation	0.06833310499790148	5	198
mononuclear cell proliferation	0.07340132840665804	5	202
regulation of intracellular protein transport	0.07340132840665804	5	202
response to nicotine	0.07880673406147044	2	10
extrinsic component of membrane	0.08564133218798377	5	210
T cell migration	0.08564133218798377	3	49
endocytic vesicle	0.0861394061269767	5	211
positive regulation of protein serine/threonine kinase activity	0.08717772088381975	5	212
regulation of necroptotic process	0.0915961501293895	2	11
integral component of endoplasmic reticulum membrane	0.09824919798936035	3	52
